"Reference","Value","Datasheet","Footprint","Qty","DNP","LCSC"
"C201,C310,C502,C503","10u","https://www.lcsc.com/datasheet/lcsc_datasheet_2208231630_Samsung-Electro-Mechanics-CL05A106MQ5NUNC_C15525.pdf","Capacitor_SMD:C_0402_1005Metric","4","","C15525"
"C202,C203,C301,C302,C303,C304,C305,C306,C307,C308,C309,C312,C501,C504,C601,C604,C605,C606,C607,C608,C609,C610,C611,C612,C614,C615,C616,C617,D503,D504,D505,e501,J601,L501,R201,R202,R203,R301,R302,R303,R304,R305,R306,R307,R308,R309,R310,R311,R312,R313,R314,R315,R316,R317,R318,R319,R320,R321,R322,R401,R402,R501,R502,R503,R504,R505,R506,R601,R602,R603,R604,R605,R606,R607,R608,R609,R610,SW603,SW604,SW605,U301,U401,U601","-- mixed values --","-- mixed values --","-- mixed values --","83","",""
"C505,C506","22u","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_Samsung-Electro-Mechanics-CL10A226MQ8NRNC_C59461.pdf","Capacitor_SMD:C_0603_1608Metric","2","","C59461"
"C602,C603,C613,C618","2u2","https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL05A225MQ5NSNC_C12530.html","Capacitor_SMD:C_0402_1005Metric","4","","C12530 "
"D501,D502","BAT60JFILM","https://www.lcsc.com/datasheet/lcsc_datasheet_1810121610_STMicroelectronics-BAT60JFILM_C133103.pdf","Diode_SMD:D_SOD-323","2","","C133103"
"D601,D602,D603","LED","https://www.lcsc.com/datasheet/lcsc_datasheet_2207141800_ROHM-Semicon-SML-P11VTT86R_C510301.pdf","Diode_SMD:D_0402_1005Metric","3","","C510301"
"FB301","FerriteBead_Small","https://www.lcsc.com/product-detail/span-style-background-color-ff0-Ferrite-span-Beads_Murata-Electronics-BLM15AG102SN1D_C76883.html","Inductor_SMD:L_0402_1005Metric","1","","C76883 "
"J201","USB_A","https://www.lcsc.com/datasheet/lcsc_datasheet_2103011233_Jing-Extension-of-the-Electronic-Co--908-371A1011D10100_C42576.pdf","Librairie_MB:USB_A_Femelle","1","","  C42576"
"J301","RJ45","https://www.lcsc.com/datasheet/lcsc_datasheet_2401121837_HCTL-HC-RJ45-5JAS-1-5-01_C20417896.pdf","Librairie_MB:HC-RJ45-5JAS-1-5-01","1","","C20417896"
"J401","USB_C_Receptacle","https://www.lcsc.com/datasheet/lcsc_datasheet_2009111836_SOFNG-MC-311D_C136423.pdf","Librairie_MB:USB_C_femelle_12P","1","","C136423"
"SW601,SW602","-- mixed values --","~","Button_Switch_SMD:SW_SPST_B3U-3000P","2",""," C963349"
"U201","NCV7329","https://www.lcsc.com/datasheet/lcsc_datasheet_2210210000_onsemi-NCV7329D10R2G_C603984.pdf","Librairie_MB:NCV7329","1","","C603984 "
"U302","CND-tek B1601S","https://www.lcsc.com/datasheet/lcsc_datasheet_2405301629_CND-tek-B1601S_C510548.pdf","Librairie_MB:CND-Tek B1601S","1","","C510548"
"U501","TDPOWER TAS12-5-W2","https://www.lcsc.com/datasheet/lcsc_datasheet_2307141637_TDPOWER-TAS12-5-W2_C5354760.pdf","Librairie_MB:TD POWER TAS12-5-W2","1","","C5354760"
"U502","TPS563201","https://www.lcsc.com/datasheet/lcsc_datasheet_2304241919_Texas-Instruments-TPS563201DDCR_C116592.pdf","Librairie_MB:TPS563201","1","","C116592"
"Y301","Crystal_GND24","https://www.lcsc.com/datasheet/lcsc_datasheet_2306211559_huaxindianzi-CF4025M00020001_C7294571.pdf","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","1","","C7294571"
