Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C201,10u,C_0402_1005Metric,153.200000,-140.800000,90.000000,top
C202,100n,C_0402_1005Metric,152.200000,-140.800000,90.000000,top
C203,1n,C_0402_1005Metric,152.200000,-143.180000,-90.000000,top
C301,470p,C_0402_1005Metric,137.995000,-118.620000,90.000000,top
C302,1u,C_0402_1005Metric,137.025000,-118.620000,-90.000000,top
C303,20p,C_0402_1005Metric,138.820000,-121.280000,90.000000,top
C304,100n,C_0402_1005Metric,139.380000,-115.750000,180.000000,top
C305,20p,C_0402_1005Metric,133.620000,-121.280000,-90.000000,top
C306,100n,C_0402_1005Metric,128.750000,-115.140000,-90.000000,top
C307,100n,C_0402_1005Metric,131.770000,-110.180000,90.000000,top
C308,100n,C_0402_1005Metric,133.870000,-111.390000,90.000000,top
C309,100n,C_0402_1005Metric,134.630000,-118.620000,-90.000000,top
C310,10u,C_0402_1005Metric,133.660000,-118.620000,90.000000,top
C312,1n,C_0402_1005Metric,116.020000,-108.500000,180.000000,top
C501,100n,C_0402_1005Metric,110.075000,-134.700000,0.000000,top
C502,10u,C_0402_1005Metric,110.075000,-135.650000,180.000000,top
C503,10u,C_0402_1005Metric,110.075000,-136.600000,180.000000,top
C504,100n,C_0402_1005Metric,108.075000,-131.300000,-90.000000,top
C505,22u,C_0603_1608Metric,108.425000,-135.600000,90.000000,top
C506,22u,C_0603_1608Metric,106.925000,-135.600000,90.000000,top
C601,10n,C_0402_1005Metric,97.600000,-152.150000,180.000000,top
C602,2u2,C_0402_1005Metric,143.500000,-123.500000,180.000000,top
C603,2u2,C_0402_1005Metric,158.170000,-127.950000,-90.000000,top
C604,100n,C_0402_1005Metric,154.200000,-108.590000,90.000000,top
C605,100n,C_0402_1005Metric,97.500000,-137.100000,0.000000,top
C606,100n,C_0402_1005Metric,150.370000,-108.610000,90.000000,top
C607,100n,C_0402_1005Metric,149.390000,-108.610000,90.000000,top
C608,10n,C_0402_1005Metric,114.500000,-101.400000,-90.000000,top
C609,100n,C_0402_1005Metric,162.800000,-112.780000,0.000000,top
C610,100n,C_0402_1005Metric,159.110000,-127.950000,-90.000000,top
C611,100n,C_0402_1005Metric,143.500000,-113.340000,180.000000,top
C612,10n,C_0402_1005Metric,129.500000,-101.370000,-90.000000,top
C613,2u2,C_0402_1005Metric,143.500000,-125.400000,180.000000,top
C614,100n,C_0402_1005Metric,147.400000,-108.630000,90.000000,top
C615,1u,C_0402_1005Metric,148.400000,-108.620000,90.000000,top
C616,10n,C_0402_1005Metric,144.500000,-101.500000,-90.000000,top
C617,100n,C_0402_1005Metric,143.500000,-124.450000,180.000000,top
C618,2u2,C_0402_1005Metric,162.800000,-111.860000,0.000000,top
D501,BAT60JFILM,D_SOD-323,112.700000,-131.350000,90.000000,top
D502,BAT60JFILM,D_SOD-323,112.700000,-136.400000,-90.000000,top
D503,LED,D_0402_1005Metric,102.000000,-140.000000,0.000000,top
D504,LED,D_0402_1005Metric,102.000000,-144.000000,0.000000,top
D505,LED,D_0402_1005Metric,102.000000,-142.000000,0.000000,top
D601,LED,D_0402_1005Metric,154.559000,-97.155000,-90.000000,top
D602,LED,D_0402_1005Metric,150.622000,-97.172000,-90.000000,top
D603,LED,D_0402_1005Metric,146.812000,-97.170000,-90.000000,top
FB301,FerriteBead_Small,L_0402_1005Metric,132.700000,-110.200000,-90.000000,top
J201,USB_A,USB_A_Femelle,154.600000,-142.000000,90.000000,top
J301,RJ45,HC-RJ45-5JAS-1-5-01,110.700000,-115.700000,-90.000000,top
J401,USB_C_Receptacle,USB_C_femelle_12P,108.500000,-162.000000,0.000000,top
J601,Conn_ST_STDC14,PinHeader_2x07_P1.27mm_Vertical_SMD,100.250000,-130.000000,0.000000,top
L501,2u2,L_1206_3216Metric,108.625000,-138.300000,0.000000,top
R201,250k,R_0402_1005Metric,143.300000,-141.360000,180.000000,top
R202,10k,R_0402_1005Metric,143.300000,-140.090000,0.000000,top
R203,1k,R_0402_1005Metric,153.200000,-142.690000,-90.000000,top
R301,33,R_0402_1005Metric,141.400000,-115.750000,0.000000,top
R302,33,R_0402_1005Metric,139.390000,-116.810000,180.000000,top
R303,33,R_0402_1005Metric,139.400000,-113.750000,180.000000,top
R304,1k5,R_0402_1005Metric,139.400000,-112.810000,180.000000,top
R305,33,R_0402_1005Metric,136.090000,-111.470000,-90.000000,top
R306,10k,R_0402_1005Metric,137.030000,-111.470000,-90.000000,top
